# B1 翻译批次（translator-a · t3）：pending.tsv 第 2–272 行，共 271 行（可译 110 / 跳过 161）
# 数据行 108 = 110 可译 − 2 组批内同 source 合并（git credential、Always Allow，folder missing 跨 scope 合并）+ 1 条 e2e 配套 ui 词条（契约 §2.3-1，B1 独占）
# 跳过 161 行清单见 zh-dict/batches/a/skip.tsv；跳过行不产出词条，留在 pending.tsv 属设计预期。
# 列：scope<TAB>source<TAB>target<TAB>anchor(可选)
docs	Opening a repository, browsing the commit graph, jumping to a diff and resolving a merge conflict	打开仓库、浏览提交图、跳转至 diff 并解决合并冲突
docs	The commit graph in the Angkor Dusk theme, with branches, working copy and staged changes	Angkor Dusk 主题下的提交图，含分支、工作副本与已暂存更改
e2e	a short hash prefix jumps like a full hash and unknown hex words fall back to filtering	短哈希前缀与完整哈希一样跳转，未知的十六进制词回退为过滤
e2e	clicking a file opens the diff already at its first change, with no scroll animation	点击文件打开的 diff 直接定位到第一处更改，无滚动动画
e2e	welcome page flags missing folders and opens a repository from the keyboard	欢迎页标记缺失的文件夹并可用键盘打开仓库
e2e	opening a diff hides the sidebar and toggling it back returns to the graph	打开 diff 会隐藏侧边栏，切回后返回提交图
docs	The conflict resolver with both sides, line numbers and the result pane	冲突解决器，含两侧内容、行号与结果面板
e2e	sidebar sections behave as an accordion with collapsed headers pinned	侧边栏分区呈手风琴行为，折叠的标题保持固定
e2e	graph ref chips show whole labels and fold the rest behind a count	提交图引用标签显示完整名称，其余折叠为计数
e2e	sidebar lists the demo worktrees and the new worktree dialog opens	侧边栏列出演示工作树并打开新建工作树对话框
e2e	conflict resolver shows line numbers in both sides and the result	冲突解决器在两侧和结果中都显示行号
e2e	searching a hash that does not exist keeps the graph and says so	搜索不存在的哈希会保留提交图并提示
e2e	commit box separates a summary line from a smaller description	提交框将摘要行与较小的描述分隔开
e2e	branch names line up whether or not the branch is checked out	无论分支是否检出，分支名都对齐
e2e	folder tree view can collapse and expand every folder at once	文件夹树视图可一次性折叠和展开所有文件夹
e2e	sidebar lists demo pull requests and opens the create dialog	侧边栏列出演示拉取请求并打开创建对话框
docs	Push failed: no upstream — push with 'Set upstream' instead.	推送失败：没有上游——请改用“设置上游”推送。
e2e	interactive rebase dialog opens from the commit context menu	交互式变基对话框可从提交右键菜单打开
e2e	collapse all folds every sidebar section and branch folder	折叠全部侧边栏分区与分支文件夹
e2e	commit actions stay inside a narrow working copy panel	提交操作按钮保持在较窄的工作副本面板内
e2e	graph display menu hides and restores the hash column	提交图显示菜单隐藏并恢复哈希列
e2e	searching a commit hash jumps to it in the full graph	搜索提交哈希会在完整提交图中跳转到它
e2e	avatars stay visible after opening and closing a diff	打开并关闭 diff 后头像保持可见
