{file_header}@@ -{start},{old_count} +{start},{new_count} @@\n{body} | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/stage.rs:360
Revert \"{summary}\"\n\nThis reverts commit {full_oid}. | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/commit.rs:105
checkout must refuse a branch checked out in a worktree | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:2001
adding a worktree for the checked-out branch must fail | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:1986
feat: two\n\n(cherry picked from commit {second})\n\n | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:630
feat: one\n\n(cherry picked from commit {first})\n\n | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:639
checkout: fast-forward {local_name} to its upstream | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/branch.rs:173
diff mentioning {OUTPUT_FILE_PLACEHOLDER} literally | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/ai_cli.rs:418
unexpected http status code: 403; class=Http (34) | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/error.rs:119
untracked files on {branch}: {short} {summary} | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:122
missing origin line in: {engine_message:?} | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:698
nothing to stash in the selected files | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:106
uncommitted changes exist in the index | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:254
github.com=dara-work, gitlab.com=dara | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/remote.rs:723
nonsense,=user,host=, GitHub.com=Dara | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/remote.rs:730
index on {branch}: {short} {summary} | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:113
could not run git stash {verb}: {e} | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:266
WIP on {branch}: {short} {summary} | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:131
dirty worktree must not be removed | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:2028
unexpected http status code: 401 | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/error.rs:158
unexpected http status code: 402 | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/error.rs:115
unexpected http status code: 500 | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/error.rs:140
{file} is not part of this stash | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:375
\\ No newline at end of file\n | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/stage.rs:225
{file} has no changes to stash | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:89
stash {index} does not exist | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/misc.rs:288
unexpected http status code: | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/error.rs:17
fast-forward merge {branch} | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/branch.rs:219
command -v {name} || true | reason= fmt | kind= rust-fmt | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/ai_cli.rs:196
Revert \"add bad file\" | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:741
kept across checkout\n | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:517
main repo stays intact | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:2037
not part of this stash | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:491
line should be staged | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:936
pull request checkout | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/remote.rs:656
On master: wip graph | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:396
[GNUPG:] SIG_CREATED | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/src/core/sign.rs:250
staged then edited\n | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:333
message {message:?} | reason= new | kind= rust | req_anchor=  | sync=  | loc= apps/desktop/src-tauri/tests/git_engine.rs:714
