# 0.11.0 rust + e2e 跳过清单（translator-b · t18）
# 列：source<TAB>category<TAB>reason
${String(name)} spills left	test-name	expect 断言标签（开发向）
${String(name)} spills right	test-name	expect 断言标签（开发向）
.font-mono	css	CSS 选择器（verify 裁决）
AI CLI	ident	类别术语（未知 CLI 回退标签）
Apply 4 files	ui-sync	UI 侧未入词条（CommitDetails:583 模板），断言保持英文与 UI 一致
Basic {basic}	code	Authorization Basic 协议值
Bearer {token}	code	Authorization 头协议值
Explains the why.	fixture	测试输入：提交说明样例
Lane color band	ui-sync	UI 侧未入词条（CommitGraph:440），断言保持英文与 UI 一致
On master: only a	fixture	git_engine 夹具提交消息/断言子串
On master: wip graph	fixture	git_engine 夹具提交消息/断言子串
Revert \"add bad file\"	fixture	git_engine 夹具提交消息/断言子串
Revert \"{summary}\"\n\nThis reverts commit {full_oid}.	code	git revert 惯例文案（GitHub 依赖识别）
Test User	fixture	sign 模块测试 git 身份夹具
Virtualized rows keep large graphs smooth	demo	demo 提交消息断言（demo.ts 不译）
WIP on master:	fixture	git_engine 夹具提交消息/断言子串
WIP on {branch}: {short} {summary}	gitraw	stash 提交消息格式（git 惯例）
[GNUPG:] SIG_CREATED	code	gpg --status-fd 输出解析标记
\\ No newline at end of file\n	code	统一 diff 协议标记行
a dirty\n	fixture	git_engine 夹具提交消息/断言子串
add a and b	fixture	git_engine 夹具提交消息/断言子串
add bad file	fixture	git_engine 夹具提交消息/断言子串
add files	fixture	git_engine 夹具提交消息/断言子串
add picked file	fixture	git_engine 夹具提交消息/断言子串
add picked file\n	fixture	git_engine 夹具提交消息/断言子串
adding a worktree for the checked-out branch must fail	test-name	git_engine 测试用例名
arrow keys walk from the graph into a commit’s files and back	test-name	e2e 测试用例名（verify 裁决）
b dirty\n	fixture	git_engine 夹具提交消息/断言子串
change a	fixture	git_engine 夹具提交消息/断言子串
change a 0	fixture	git_engine 夹具提交消息/断言子串
change a 1	fixture	git_engine 夹具提交消息/断言子串
change a 2	fixture	git_engine 夹具提交消息/断言子串
change a 3	fixture	git_engine 夹具提交消息/断言子串
change a 4	fixture	git_engine 夹具提交消息/断言子串
change a add c	fixture	git_engine 夹具提交消息/断言子串
change a {i}	fixture	git_engine 夹具提交消息/断言子串
change b only	fixture	git_engine 夹具提交消息/断言子串
change b {i}	fixture	git_engine 夹具提交消息/断言子串
change both	fixture	git_engine 夹具提交消息/断言子串
checked above	test-name	expect 消息标签
checkout must refuse a branch checked out in a worktree	test-name	git_engine 测试用例名
checkout: fast-forward {local_name} to its upstream	gitraw	reflog 消息
chore {i}	fixture	git_engine 夹具提交消息/断言子串
clipped: ${part.text}	test-name	expect 断言标签（开发向）
command -v {name} || true	command	shell 命令片段（PATH 探测）
commit {i}	fixture	git_engine 夹具提交消息/断言子串
commit: {}	gitraw	reflog 消息
demo change	fixture	git_engine 夹具提交消息/断言子串
demo change\n	fixture	git_engine 夹具提交消息/断言子串
demo work	fixture	git_engine 夹具提交消息/断言子串
demo work\n	fixture	git_engine 夹具提交消息/断言子串
dialog geometry missing	test-name	测试内 throw 的错误消息（开发向）
diff mentioning {OUTPUT_FILE_PLACEHOLDER} literally	fixture	ai_cli 模块测试提示词夹具
dirty worktree must not be removed	test-name	git_engine 测试用例名
diverge on master	fixture	git_engine 夹具提交消息/断言子串
fast-forward merge {branch}	gitraw	reflog 消息
feat(worktrees): list, create and remove linked worktrees	fixture	测试输入：提交摘要样例（demo 提交消息）
feat: one\n\n(cherry picked from commit {first})\n\n	fixture	git_engine 夹具提交消息/断言子串
feat: two\n\n(cherry picked from commit {second})\n\n	fixture	git_engine 夹具提交消息/断言子串
feature commit	fixture	git_engine 夹具提交消息/断言子串
feature one	fixture	git_engine 夹具提交消息/断言子串
feature two	fixture	git_engine 夹具提交消息/断言子串
feature work	fixture	git_engine 夹具提交消息/断言子串
feature work\n	fixture	git_engine 夹具提交消息/断言子串
feature {i}	fixture	git_engine 夹具提交消息/断言子串
fix: adjust\n\nSigned-off-by: Test User <test@angkorgit.dev>	fixture	git_engine 夹具提交消息（verify 裁决）
